"","sample","PC1","PC2","label","tissue","diet","batch"
"1","Haas2021-Haas2021-X.10..TP_Thermogenesis_RT_B.PG.Quantity",-2.99973767406983,6.01916479421132,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"2","Haas2021-Haas2021-X.11..TP_Thermogenesis_RT_C.PG.Quantity",-12.7907326903767,0.965622787103972,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"3","Haas2021-Haas2021-X.12..TP_Thermogenesis_RT_D.PG.Quantity",3.61328956149752,6.99179993006357,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"4","Haas2021-Haas2021-X.9..TP_Thermogenesis_RT_A.PG.Quantity",-5.43340088364225,5.12824539946054,"BAT-High Fat Diet","BAT","HFD","Haas2021"
"5","Haas2022-Haas2022-X.10..2022_TP_Thermogenesis_RT_B.PG.Quantity",25.5386925392552,19.21317727911,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"6","Haas2022-Haas2022-X.11..2022_TP_Thermogenesis_RT_C.PG.Quantity",-22.0611042335809,-4.22536961358507,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"7","Haas2022-Haas2022-X.12..2022_TP_Thermogenesis_RT_D.PG.Quantity",-32.2498164863326,-10.8514057164782,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"8","Haas2022-Haas2022-X.9..2022_TP_Thermogenesis_RT_A.PG.Quantity",8.39449055709929,11.064171374183,"BAT-High Fat Diet","BAT","HFD","Haas2022"
"9","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_1",5.13075719750116,6.34170645638561,"BAT-AdLib","BAT","CD","Harney"
"10","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_2",-6.51152524146113,-7.66770523562807,"BAT-AdLib","BAT","CD","Harney"
"11","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_3",-2.79638502734247,-1.08802223780341,"BAT-AdLib","BAT","CD","Harney"
"12","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_4",-8.6870225275348,2.87472091590393,"BAT-AdLib","BAT","CD","Harney"
"13","Harney-Harney-LFQ.intensity.DH_EXP169_Bfat_AdLib_Fed_5",5.09894486081411,10.3690960915143,"BAT-AdLib","BAT","CD","Harney"
"14","Johanna-Johanna-LFQ intensity 4442_22_PBS_m",0.791076653560793,-2.2965349995608,"iWAT-Standard Diet","iWAT","CD","Johanna"
"15","Johanna-Johanna-LFQ intensity 4443_22_PBS_m",-9.70829543145772,-13.67017759626,"iWAT-Standard Diet","iWAT","CD","Johanna"
"16","Johanna-Johanna-LFQ intensity 4444_22_PBS_f",-16.7989326658098,-15.1648904099345,"iWAT-Standard Diet","iWAT","CD","Johanna"
"17","Johanna-Johanna-LFQ intensity 4445_22_PBS_f",17.5662023064012,8.22519180618393,"iWAT-Standard Diet","iWAT","CD","Johanna"
"18","Johanna-Johanna-LFQ intensity 4446_22_PBS_f",61.655745981291,31.4159267183035,"iWAT-Standard Diet","iWAT","CD","Johanna"
